,name,link,company,salary_min,salary_max,currency,source
12,Бизнес-аналитик (СМР),https://hh.ru/vacancy/39046848?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ОАО Москапстрой,NaN,NaN,NaN,hh.ru
13,Бизнес-аналитик (ПИР),https://hh.ru/vacancy/39042802?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ОАО Москапстрой,NaN,NaN,NaN,hh.ru
14,Системный аналитик,https://hh.ru/vacancy/38788372?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Снежная Королева,NaN,NaN,NaN,hh.ru
15,Финансовый аналитик,https://hh.ru/vacancy/39083407?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Профессиональные Биотехнологии,120000,NaN,руб.,hh.ru
16,Аналитик бизнес-процессов,https://hh.ru/vacancy/39133355?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,АО Мособлгаз,150000,150000,руб.,hh.ru
17,Аналитик,https://hh.ru/vacancy/39084137?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ФАТТУРА,,,,hh.ru
18,Аналитик-стажер (бизнес-анализ),https://hh.ru/vacancy/39138335?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Digital Design,NaN,NaN,NaN,hh.ru
19,Аналитик данных/ бизнес-аналитик,https://hh.ru/vacancy/38930312?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ПК Красота и Здоровье,,,,hh.ru
20,Аналитик,https://hh.ru/vacancy/39122652?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Coleman Services,52000,NaN,руб.,hh.ru
21,Финансовый аналитик,https://hh.ru/vacancy/38255134?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," ЦУМ, Офис",100000,120000,руб.,hh.ru
22,Аналитик,https://hh.ru/vacancy/39139514?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Яндекс,NaN,NaN,NaN,hh.ru
23,Аналитик,https://hh.ru/vacancy/38673548?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Mindbox,120000,150000,руб.,hh.ru
24,Аналитик,https://hh.ru/vacancy/39060531?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Альфа—Торг Сервис,,,,hh.ru
25,Финансовый аналитик,https://hh.ru/vacancy/39103539?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Марк Формэль,1800,NaN,бел.,hh.ru
26,Продуктовый аналитик,https://hh.ru/vacancy/39098909?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, YCLIENTS LLC,100000,NaN,руб.,hh.ru
27,Аналитик,https://hh.ru/vacancy/39137223?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, ФГБУ ГИВЦ Минкультуры России,120000,150000,руб.,hh.ru
28,Помощник аналитика,https://hh.ru/vacancy/39081397?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," Русатом, Группа компаний",,,,hh.ru
29,BI-аналитик (бизнес-аналитик) / аналитик данных,https://hh.ru/vacancy/39114518?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, IT-Life,80000,NaN,руб.,hh.ru
30,Аналитик/ специалист по внедрению,https://hh.ru/vacancy/39034256?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, АСКОН-Самара (Группа Компаний АйтиКонсалт),,,,hh.ru
31,Стажер-аналитик (финансовый мониторинг),https://hh.ru/vacancy/39096036?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, the_covert,NaN,NaN,NaN,hh.ru
32,Аналитик данных / Data Analyst (Python/R),https://hh.ru/vacancy/39077852?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Софтвайс,,,,hh.ru
33,Аналитик,https://hh.ru/vacancy/39094424?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,АО АТФБанк,NaN,NaN,NaN,hh.ru
34,Младший аналитик,https://hh.ru/vacancy/39133633?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, 404 Group,NaN,NaN,NaN,hh.ru
35,Старший аналитик,https://hh.ru/vacancy/37679543?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО ГОЛДЕНГУС ИНТЕРНЕШНЛ,150000,250000,руб.,hh.ru
36,Аналитик данных,https://hh.ru/vacancy/39084469?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ИП Лейдерман Роман Петрович,120000,150000,руб.,hh.ru
37,Стажёр-аналитик,https://hh.ru/vacancy/39066749?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,"ПАО «МТС», Стажировки",NaN,NaN,NaN,hh.ru
38,Старший инвестиционный аналитик,https://hh.ru/vacancy/39008341?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО АВТОПАСС,150000,NaN,руб.,hh.ru
39,Консультант/аналитик 1с,https://hh.ru/vacancy/39046153?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," Комплект Айс, компания",130000,150000,руб.,hh.ru
40,Бизнес-аналитик / Системный аналитик (IT),https://hh.ru/vacancy/39138036?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Фабрика Решений,,,,hh.ru
41,Старший консультант-аналитик,https://hh.ru/vacancy/39095204?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ТОО Colliers Kazakhstan,NaN,500000,KZT,hh.ru
42,Продуктовый аналитик,https://hh.ru/vacancy/38053356?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО Константа,160000,190000,руб.,hh.ru
43,Аналитик данных,https://hh.ru/vacancy/38330081?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, myBI,,,,hh.ru
44,Аналитик отдела продаж,https://hh.ru/vacancy/39136932?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО CLOUDBERRY,70000,NaN,руб.,hh.ru
45,Аналитик,https://hh.ru/vacancy/39105617?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA,ООО БЕЛЛА Волга,NaN,NaN,NaN,hh.ru
46,Инвестиционный аналитик,https://hh.ru/vacancy/39047751?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, ГК Садовое кольцо,60000,NaN,руб.,hh.ru
47,Аналитик,https://hh.ru/vacancy/39126328?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA," Orby, компания",NaN,NaN,NaN,hh.ru
48,Аналитик,https://hh.ru/vacancy/38694980?query=%D0%B0%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA, Дикомп-Классик,NaN,NaN,NaN,hh.ru
